chitosan_conc,TPP_conc,particle_size,PDI,zeta_potential,chitosan_type,chitosan_MW,chitosan_TPP_ratio,conc_x_TPP,MW_x_conc,MW_x_TPP,log_MW,total_solute,chitosan_fraction
0.2,0.25,115.0,0.28,20.57,HMW,310,0.8,0.05,62.0,77.5,2.4913616938342726,0.45,0.4444444444444445
0.2,0.5,210.0,0.25,14.4,HMW,310,0.4,0.1,62.0,155.0,2.4913616938342726,0.7,0.28571428571428575
0.2,0.75,249.0,0.22,9.82,HMW,310,0.26666666666666666,0.15000000000000002,62.0,232.5,2.4913616938342726,0.95,0.2105263157894737
0.5,0.25,125.0,0.21,29.5,HMW,310,2.0,0.125,155.0,77.5,2.4913616938342726,0.75,0.6666666666666666
0.5,0.5,156.0,0.22,25.6,HMW,310,1.0,0.25,155.0,155.0,2.4913616938342726,1.0,0.5
0.5,0.5,158.0,0.2,27.1,HMW,310,1.0,0.25,155.0,155.0,2.4913616938342726,1.0,0.5
0.5,0.5,167.0,0.21,25.6,HMW,310,1.0,0.25,155.0,155.0,2.4913616938342726,1.0,0.5
0.5,0.75,180.0,0.2,26.9,HMW,310,0.6666666666666666,0.375,155.0,232.5,2.4913616938342726,1.25,0.4
0.8,0.25,133.0,0.33,30.3,HMW,310,3.2,0.2,248.0,77.5,2.4913616938342726,1.05,0.7619047619047619
0.8,0.5,172.0,0.31,32.0,HMW,310,1.6,0.4,248.0,155.0,2.4913616938342726,1.3,0.6153846153846154
0.8,0.75,216.0,0.27,28.0,HMW,310,1.0666666666666667,0.6000000000000001,248.0,232.5,2.4913616938342726,1.55,0.5161290322580645
0.2,0.25,109.0,0.317,20.3,LMW,50,0.8,0.05,10.0,12.5,1.6989700043360187,0.45,0.4444444444444445
0.2,0.5,88.05,0.237,14.4,LMW,50,0.4,0.1,10.0,25.0,1.6989700043360187,0.7,0.28571428571428575
